,Name,Target market,Restrictions,Operator/Registry,IDN,DNSSEC
280,.sex,adult entertainment (pornography),"For sites providing sexually explicit content, such as pornography.",,Yes,Yes
281,.sexy,adult entertainment,—,Uniregistry,Yes[43],Yes
282,.shoes,shoes,—,ドーナツ[donuts 113],Yes,Yes
283,.show,entertainment and vlogs,—,ドーナツ,Yes,Yes
284,.singles,online dating,—,ドーナツ[donuts 114],Yes,Yes
285,.site,general,—,,不明,Yes
286,.soccer,サッカー,—,ドーナツ,Yes,Yes
287,.social,general interest,—,Rightside Group[n 1],Yes,Yes
288,.software,computer software,—,Rightside Group[n 1],不明,Yes
289,.solar,solar-power,—,ドーナツ[donuts 115],Yes,Yes
290,.solutions,business services,—,ドーナツ[donuts 116],Yes,Yes
291,.space,as a creative space,—,Radix Registry,不明,Yes
292,.studio,"art, fitness, & entertainment",—,Rightside Group[n 1],Yes,Yes
293,.style,fashion,—,ドーナツ,Yes,Yes
294,.sucks,gripe sites,—,Vox Populi,不明,Yes
295,.supplies,manufacturing industries,—,ドーナツ[donuts 117],Yes,Yes
296,.supply,manufacturing industries,—,ドーナツ[donuts 118],Yes,Yes
297,.support,help pages,—,ドーナツ[donuts 119],Yes[75],Yes
298,.surf,surfing,—,Minds + Machines[n 3],不明,Yes
299,.surgery,healthcare industry,—,ドーナツ[donuts 120],Yes,Yes
300,.systems,technology,—,ドーナツ[donuts 121],Yes,Yes
301,.tattoo,tattoo aficionados,—,Uniregistry,Yes[43],Yes
302,.tax,financial,—,ドーナツ,Yes,Yes
303,.taxi,taxi services,—,ドーナツ,Yes,Yes
304,.team,team sports,—,ドーナツ,Yes,Yes
305,.technology,technology,—,ドーナツ,Yes,Yes
306,.tel,Internet communication services,A contact directory housing all types of contact information directly in the Domain Name System.,,Yes[76],No
307,.tennis,テニス,—,ドーナツ,Yes,Yes
308,.theater,theaters and cinemas,—,ドーナツ,Yes,Yes
309,.tips,general help topics,—,ドーナツ,Yes,Yes
310,.tires,tire manufacturers,—,ドーナツ,Yes,Yes
311,.today,general,—,ドーナツ,Yes,Yes
312,.tools,manufacturing industries,—,ドーナツ,Yes,Yes
313,.top,general,—,Jiangsu Bangning,不明,Yes
314,.tours,tourism,—,ドーナツ,Yes,Yes
315,.town,generic geographic,—,ドーナツ,Yes,Yes
316,.toys,toy businesses,—,ドーナツ,Yes,Yes
317,.trade,businesses,—,,Yes,Yes
318,.training,training and how-tos,—,ドーナツ,Yes,Yes
319,.travel,travel and tourism industry related sites,Must be verified as a legitimate travel-related entity.,,No,No
320,.university,"young adults, university life",—,ドーナツ,Yes,Yes
321,.vacations,travel,—,ドーナツ,Yes,Yes
322,.vet,veterans and veterinarians,—,,Yes,Yes
323,.video,video sharing,—,,不明,Yes
324,.villas,real estate and/or travel businesses,—,ドーナツ,Yes,Yes
325,.vision,eye-care businesses,—,ドーナツ,Yes,Yes
326,.vodka,ウォッカ-related businesses and interest,—,,Yes,Yes
327,.vote,democratic elections and campaign websites,"Must use the domain in connection with a ""clearly identified political/democratic process.""[77] Initially only available to registrations in the United States.[78]",Afilias,不明,Yes
328,.voting,polling sites,—,,ラテン文字・キリル文字[10],Yes
329,.voyage,travel,—,ドーナツ,Yes,Yes
330,.wang,general网（網）のピンイン表記[79]王・汪は中国本土でよくある姓,—,,Yes[80],Yes
331,.watch,Watches,—,ドーナツ,Yes,Yes
332,.webcam,Web cam shows and video sharing,—,,Yes,Yes
333,.website,general,—,Radix Registry,不明,Yes
334,.wed,engaged couples and wedding-oriented businesses,"This TLD is intended primarily for engaged couples on a short-term basis (two years with prohibitive third-year renewal fees for セカンドレベルドメインs).[81]And although the registry is advertising for multiple world languages, all domains appear to need to be in ラテン文字.[82]",,No,Yes
335,.wedding,wedding-oriented businesses,—,Minds + Machines[n 3],Yes,Yes
336,.whoswho,general,"An open TLD, any person or entity is permitted to register. Conceived for those cited in one of the Who's Who reference titles published around the world, the registry was opened for use by private individuals, and for-profit and nonprofit entities, including those with social media aspirations. Registry policies allow for rapid takedown of non-compliant domains, for violations including imposturous registration of another's names, and proscribed uses, including pornography or adult services/applications.",Who's Who Registry,Yes,Yes
337,.wiki,"ウィキ""An open TLD for anyone interested in community resource creation""",—,,Yes,Yes
338,.win,"games, Microsoft Windows",—,Famous Four Media,不明,Yes
339,.work,general,—,Minds + Machines[n 3],Yes,Yes
340,.works,general,—,ドーナツ,Yes,Yes
341,.world,general,—,ドーナツ,Yes,Yes
342,.wtf,general,—,ドーナツ,Yes,Yes
343,.xxx,adult entertainment (pornography),"For sites providing sexually explicit content, such as pornography.",,Yes,Yes
344,.xyz,general,—,XYZ.com,Yes[83],Yes
345,.yoga,ヨガ,—,Minds + Machines[n 3],Yes,Yes
346,.zone,general,—,ドーナツ,Yes,Yes
